台站内码,台站名称,台站代号,所属战区,台站类型,台站级别,地上地下,机房面积,维护部队,部队内码
TZ09170001,1号站,10,虚拟战区,网管站,一级,地上,300,假想旅1营,BD09170005
TZ09170002,2号站,11,虚拟战区,网管站,一级,地上,100,假想旅2营,BD09170006
TZ09170003,3号站,101,虚拟战区,终端站,二级,地上,50,假想旅1营1连,BD09170007
TZ09170004,4号站,102,虚拟战区,终端站,二级,地上,130,假想旅1营2连,BD09170008
TZ09170005,5号站,103,虚拟战区,终端站,二级,地上,87.45,假想旅1营3连,BD09170009
TZ09170006,6号站,104,虚拟战区,终端站,二级,坑道,60,假想旅2营1连,BD09170010
TZ09170007,7号站,105,虚拟战区,终端站,二级,地上,77,假想旅2营2连,BD09170011
TZ09170008,8号站,106,虚拟战区,终端站,二级,地上,50,假想旅2营3连,BD09170012
TZ09170009,9号站,1011,虚拟战区,中间站,三级,地上,120,假想旅1营2连2排,BD09170013
TZ09170010,10号站,1012,虚拟战区,中间站,三级,地上,120,假想旅1营2连3排,BD09170014
TZ09170011,11号站,1013,虚拟战区,中间站,三级,地上,20,假想旅1营3连2排,BD09170015
TZ09170012,12号站,1014,虚拟战区,中间站,三级,坑道,10,假想旅2营1连2排,BD09170016
